2023/10/7 14:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
3602,16:00～17:00,10/7,14:20,26,79

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2856,16:00～17:00,10/7,14:20

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2795,0:00～1:00,10/7,14:20,20,83

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2332,0:00～1:00,10/7,14:20

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/10/7,0:00,2298,2332,82,2795
2023/10/7,1:00,2178,2206,82,2646
2023/10/7,2:00,2148,2159,82,2606
2023/10/7,3:00,2181,2193,82,2636
2023/10/7,4:00,2203,2213,82,2683
2023/10/7,5:00,2220,2236,81,2738
2023/10/7,6:00,2186,2210,80,2726
2023/10/7,7:00,2219,2245,79,2790
2023/10/7,8:00,2375,2364,80,2942
2023/10/7,9:00,2570,2568,80,3177
2023/10/7,10:00,2704,2692,80,3356
2023/10/7,11:00,2768,2722,80,3420
2023/10/7,12:00,2755,2742,80,3437
2023/10/7,13:00,2765,2855,77,3588
2023/10/7,14:00,0,2842,,3662
2023/10/7,15:00,0,2838,,3774
2023/10/7,16:00,0,2856,,3602
2023/10/7,17:00,0,2837,,3546
2023/10/7,18:00,0,2852,,3625
2023/10/7,19:00,0,2773,,3636
2023/10/7,20:00,0,2683,,3603
2023/10/7,21:00,0,2564,,3451
2023/10/7,22:00,0,2451,,3298
2023/10/7,23:00,0,2340,,3149

最大使用率(%),時間帯
82,4:00～5:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2023/10/7,0:00,2390,0,0
2023/10/7,0:05,2358,0,0
2023/10/7,0:10,2355,0,0
2023/10/7,0:15,2345,0,0
2023/10/7,0:20,2315,0,0
2023/10/7,0:25,2310,0,0
2023/10/7,0:30,2289,0,0
2023/10/7,0:35,2279,0,0
2023/10/7,0:40,2251,0,0
2023/10/7,0:45,2235,0,0
2023/10/7,0:50,2237,0,0
2023/10/7,0:55,2216,0,0
2023/10/7,1:00,2210,0,0
2023/10/7,1:05,2213,0,0
2023/10/7,1:10,2207,0,0
2023/10/7,1:15,2204,0,0
2023/10/7,1:20,2176,0,0
2023/10/7,1:25,2182,0,0
2023/10/7,1:30,2176,0,0
2023/10/7,1:35,2168,0,0
2023/10/7,1:40,2162,0,0
2023/10/7,1:45,2154,0,0
2023/10/7,1:50,2139,0,0
2023/10/7,1:55,2148,0,0
2023/10/7,2:00,2150,0,0
2023/10/7,2:05,2160,0,0
2023/10/7,2:10,2153,0,0
2023/10/7,2:15,2150,0,0
2023/10/7,2:20,2146,0,0
2023/10/7,2:25,2138,0,0
2023/10/7,2:30,2135,0,0
2023/10/7,2:35,2153,0,0
2023/10/7,2:40,2146,0,0
2023/10/7,2:45,2140,0,0
2023/10/7,2:50,2148,0,0
2023/10/7,2:55,2154,0,0
2023/10/7,3:00,2158,0,0
2023/10/7,3:05,2175,0,0
2023/10/7,3:10,2180,0,0
2023/10/7,3:15,2178,0,0
2023/10/7,3:20,2184,0,0
2023/10/7,3:25,2180,0,0
2023/10/7,3:30,2178,0,0
2023/10/7,3:35,2180,0,0
2023/10/7,3:40,2176,0,0
2023/10/7,3:45,2194,0,0
2023/10/7,3:50,2201,0,0
2023/10/7,3:55,2195,0,0
2023/10/7,4:00,2206,0,0
2023/10/7,4:05,2204,0,0
2023/10/7,4:10,2204,0,0
2023/10/7,4:15,2197,0,0
2023/10/7,4:20,2200,0,0
2023/10/7,4:25,2199,0,0
2023/10/7,4:30,2203,0,0
2023/10/7,4:35,2186,0,0
2023/10/7,4:40,2198,0,0
2023/10/7,4:45,2216,0,0
2023/10/7,4:50,2218,0,0
2023/10/7,4:55,2210,0,0
2023/10/7,5:00,2218,0,0
2023/10/7,5:05,2240,0,0
2023/10/7,5:10,2230,0,0
2023/10/7,5:15,2230,0,0
2023/10/7,5:20,2226,0,0
2023/10/7,5:25,2232,0,0
2023/10/7,5:30,2213,0,0
2023/10/7,5:35,2220,0,0
2023/10/7,5:40,2217,0,0
2023/10/7,5:45,2203,0,0
2023/10/7,5:50,2205,1,0
2023/10/7,5:55,2206,3,0
2023/10/7,6:00,2200,6,0
2023/10/7,6:05,2199,10,0
2023/10/7,6:10,2188,14,0
2023/10/7,6:15,2193,20,0
2023/10/7,6:20,2194,41,1
2023/10/7,6:25,2188,54,2
2023/10/7,6:30,2190,70,3
2023/10/7,6:35,2179,87,3
2023/10/7,6:40,2165,105,4
2023/10/7,6:45,2169,124,5
2023/10/7,6:50,2179,142,6
2023/10/7,6:55,2188,158,7
2023/10/7,7:00,2180,180,8
2023/10/7,7:05,2215,197,8
2023/10/7,7:10,2201,220,9
2023/10/7,7:15,2192,244,11
2023/10/7,7:20,2194,274,12
2023/10/7,7:25,2197,304,13
2023/10/7,7:30,2206,337,15
2023/10/7,7:35,2240,374,16
2023/10/7,7:40,2241,422,18
2023/10/7,7:45,2256,456,20
2023/10/7,7:50,2244,490,21
2023/10/7,7:55,2261,528,23
2023/10/7,8:00,2303,565,24
2023/10/7,8:05,2321,606,26
2023/10/7,8:10,2370,648,27
2023/10/7,8:15,2381,692,29
2023/10/7,8:20,2375,729,30
2023/10/7,8:25,2390,762,31
2023/10/7,8:30,2363,773,32
2023/10/7,8:35,2388,810,33
2023/10/7,8:40,2374,842,35
2023/10/7,8:45,2393,878,36
2023/10/7,8:50,2407,913,37
2023/10/7,8:55,2435,963,39
2023/10/7,9:00,2475,1003,40
2023/10/7,9:05,2504,1034,41
2023/10/7,9:10,2523,1068,42
2023/10/7,9:15,2546,1098,43
2023/10/7,9:20,2561,1127,44
2023/10/7,9:25,2565,1150,44
2023/10/7,9:30,2566,1173,45
2023/10/7,9:35,2600,1196,46
2023/10/7,9:40,2611,1218,46
2023/10/7,9:45,2612,1240,47
2023/10/7,9:50,2630,1259,47
2023/10/7,9:55,2645,1275,48
2023/10/7,10:00,2654,1290,48
2023/10/7,10:05,2653,1305,49
2023/10/7,10:10,2673,1317,49
2023/10/7,10:15,2687,1329,49
2023/10/7,10:20,2696,1342,49
2023/10/7,10:25,2703,1352,50
2023/10/7,10:30,2712,1362,50
2023/10/7,10:35,2720,1371,50
2023/10/7,10:40,2715,1377,50
2023/10/7,10:45,2744,1393,50
2023/10/7,10:50,2738,1402,51
2023/10/7,10:55,2754,1407,51
2023/10/7,11:00,2760,1410,51
2023/10/7,11:05,2757,1410,51
2023/10/7,11:10,2750,1407,51
2023/10/7,11:15,2756,1414,51
2023/10/7,11:20,2754,1412,51
2023/10/7,11:25,2776,1413,50
2023/10/7,11:30,2773,1416,51
2023/10/7,11:35,2785,1413,50
2023/10/7,11:40,2778,1413,50
2023/10/7,11:45,2774,1407,50
2023/10/7,11:50,2784,1406,50
2023/10/7,11:55,2766,1394,50
2023/10/7,12:00,2776,1386,49
